filename,member_id,phrase,augmentation,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_rolloff,rms_energy
confirm_transaction.wav,Alice,confirm,original,-340.4005432128906,153.44065856933594,11.435617446899414,35.13981246948242,-8.880391120910645,33.80043029785156,-2.5539891719818115,14.789642333984375,3.2267165184020996,9.45901107788086,9.10471248626709,0.22173865139484406,4.9423394203186035,4686.67923151751,0.05466717
confirm_transaction.wav,Alice,confirm,pitch_shift,-359.5027770996094,137.3380126953125,16.110950469970703,17.321765899658203,2.1343164443969727,25.634069442749023,-4.171608924865723,17.237194061279297,-0.09872448444366455,13.077312469482422,-3.4790737628936768,5.789270401000977,0.9943227767944336,6102.960846303502,0.035826508
confirm_transaction.wav,Alice,confirm,noise,-258.6236688834427,81.91619605704273,36.55723768023399,19.388517963773598,7.817138104065674,17.056112647714553,9.4969727704177,8.09277460457162,8.815516004717486,5.989482254357166,7.152045011072976,3.5721632528358658,3.885916594199266,14446.346060311284,0.05509698
yes_approve.wav,Alice,approve,original,-339.216796875,150.81689453125,9.160223960876465,44.852088928222656,-10.228116989135742,32.04715347290039,-10.446824073791504,14.669822692871094,0.494543194770813,2.670830726623535,6.588624477386475,-5.343949317932129,6.0068678855896,5665.27881736527,0.047086265
yes_approve.wav,Alice,approve,pitch_shift,-357.2228088378906,133.14913940429688,19.207508087158203,25.6446475982666,-0.3251127004623413,20.085651397705078,-9.758200645446777,16.647306442260742,-7.959213733673096,11.4597806930542,-4.397164344787598,9.486969947814941,5.184935092926025,7015.531437125748,0.031484798
yes_approve.wav,Alice,approve,noise,-259.1270587280057,79.56108756303013,38.3838062012737,25.07773655440074,9.807188981872066,13.69322518282955,3.689555078377778,5.116459332440815,5.686254360147424,2.149218857788048,3.5801316042986717,-1.08280587828019,2.355961217471692,14642.543038922156,0.047591448
confirm_transaction.wav,Armstrong,confirm,original,-640.9068603515625,99.94879150390625,5.43979549407959,-0.14128029346466064,-1.7914822101593018,-8.203749656677246,-1.3282831907272339,-5.845966815948486,-1.752992868423462,6.692529678344727,-0.697623610496521,-3.963261365890503,-5.088289737701416,7596.660539215686,0.0058342363
confirm_transaction.wav,Armstrong,confirm,pitch_shift,-679.46630859375,99.90030670166016,-7.223757743835449,-2.86128568649292,-9.140022277832031,-7.656120300292969,-1.4640238285064697,-4.80096960067749,4.776839733123779,-3.968261957168579,-11.753783226013184,-7.789464473724365,-8.948296546936035,7503.216911764706,0.0037321127
confirm_transaction.wav,Armstrong,confirm,noise,-337.900198541691,14.927750359982515,7.627551419050075,1.4701046107293703,-0.1276955761576351,-0.5886139134171104,-1.0152321153831565,-1.062964396104102,-0.44004481699756137,0.5281397066741386,0.8079574602861795,-0.16292641817281261,-1.9001115529480164,19658.394607843136,0.009412659
yes_approve.wav,Armstrong,approve,original,-584.0841674804688,89.3840560913086,-4.913604736328125,8.290495872497559,0.01774231158196926,-7.7893524169921875,2.181410551071167,-10.853927612304688,-1.0664005279541016,8.976149559020996,-6.279160499572754,-3.452786445617676,-5.52525520324707,7926.547897196262,0.00974681
yes_approve.wav,Armstrong,approve,pitch_shift,-594.5125732421875,74.23477935791016,-8.911782264709473,7.111835956573486,-7.722451686859131,-3.788226366043091,-2.733121871948242,-7.8754425048828125,7.1632561683654785,-7.3057475090026855,-11.042381286621094,-6.017640590667725,-11.369138717651367,7540.887850467289,0.0073054065
yes_approve.wav,Armstrong,approve,noise,-328.24962367288094,17.826208472235187,2.6726672191818888,2.3110563680710463,0.19864690951298167,-0.5621326199887211,0.46299901744827143,-3.8632593772269774,-1.3191344506546645,2.99167224304622,-0.5531735014543885,-2.062781866105836,-3.769480195078387,18915.668808411214,0.013126461
confirm_transaction.wav,cedric,confirm,original,-465.5792236328125,184.05120849609375,23.061660766601562,16.335567474365234,5.797929763793945,3.4690966606140137,5.100075721740723,7.491554260253906,4.287894248962402,-3.03592586517334,-1.9562711715698242,3.4652862548828125,-2.4306328296661377,2200.3891728624535,0.015486044
confirm_transaction.wav,cedric,confirm,pitch_shift,-485.4674987792969,178.37319946289062,12.938261985778809,11.615495681762695,0.3113650679588318,4.891859531402588,5.9498138427734375,5.2469706535339355,-3.6243529319763184,-3.596691846847534,2.5087814331054688,-3.8899800777435303,-3.205613613128662,2764.4950554716543,0.010694762
confirm_transaction.wav,cedric,confirm,noise,-304.83483506234245,51.73034707756241,36.22257188607877,20.215506030332765,8.55827583668437,4.267828178324711,4.869903548130756,5.224288515252897,3.4730128545012464,0.1085087247611205,-1.4372025342214794,-0.9249863840945783,-0.4406012393754827,17138.108264114777,0.017106842
yes_approve.wav,cedric,approve,original,-391.1056213378906,146.54745483398438,20.67371368408203,15.668127059936523,1.4964516162872314,9.622139930725098,8.388606071472168,4.175595760345459,0.18674811720848083,-4.1064300537109375,-5.317906856536865,-2.80041241645813,-3.2184839248657227,4272.554022606383,0.022593722
yes_approve.wav,cedric,approve,pitch_shift,-422.1081848144531,146.4987335205078,9.262383460998535,12.914139747619629,-0.6579846739768982,12.679876327514648,1.4250649213790894,-1.9586117267608643,-7.858675003051758,-5.567895889282227,-3.475172519683838,-2.5470776557922363,-4.614988803863525,5308.072016289893,0.013983182
